District;Average income
0;28202
1;62301,5
2;25877,83333
3;18451,66667
4;19557,28571
5;15825,25
6;18881
7;12911
8;19567,71429
9;14893,28571
10;12960
11;12558,66667
12;43943,5
14;31908
15;15957
16;31742,14286
17;23796,75
18;80110
19;50989,33333
20;35454,5
22;30191,5
24;23489,5
25;17521,33333
31;1462
